               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061835,            0.025492,            0.054978,             0.55404,             0.44255,              0.3798,             0.18833,            0.046078,           0.0096416,            0.026417,             0.07003,             0.00333,             0.00333
                   1,            0.049876,            0.020926,            0.024359,             0.63876,             0.52494,             0.55361,             0.30965,             0.04049,           0.0094246,            0.017263,             0.03959,           0.0062236,           0.0062236
                   2,            0.049749,            0.021742,            0.022575,             0.52817,             0.29413,             0.30513,             0.14717,             0.05095,            0.011845,            0.033237,           0.0087101,           0.0086771,           0.0086771
                   3,            0.050876,             0.02303,            0.024519,             0.55503,             0.48089,             0.48197,             0.25627,            0.043701,            0.010188,            0.022786,             0.00802,             0.00802,             0.00802
                   4,            0.049234,            0.022039,            0.020828,             0.65615,              0.5087,             0.52374,             0.29135,            0.041694,             0.00988,             0.01983,             0.00802,             0.00802,             0.00802
                   5,            0.046445,            0.021565,            0.017535,             0.63187,             0.54887,             0.56277,              0.3138,            0.039525,           0.0098037,            0.017446,             0.00736,             0.00736,             0.00736
                   6,            0.044781,            0.020836,             0.01522,             0.69743,             0.56927,             0.59959,             0.34833,            0.038066,           0.0094389,             0.01497,              0.0067,              0.0067,              0.0067
                   7,            0.042561,            0.020198,            0.013622,             0.70264,             0.60944,             0.64468,             0.37974,            0.037235,           0.0092099,            0.012711,             0.00604,             0.00604,             0.00604
                   8,            0.040716,            0.019507,             0.01124,              0.7166,             0.64389,             0.67293,             0.40921,            0.036024,            0.008798,            0.013261,             0.00538,             0.00538,             0.00538
                   9,            0.039363,            0.019054,            0.010095,             0.70488,             0.64948,             0.67852,             0.42048,            0.035255,           0.0087206,            0.013018,             0.00472,             0.00472,             0.00472
                  10,            0.038049,            0.018478,           0.0089796,             0.70834,             0.68227,             0.70178,             0.43621,            0.034593,           0.0085752,            0.011005,             0.00406,             0.00406,             0.00406
                  11,            0.036473,            0.018103,           0.0078191,             0.74735,             0.66321,             0.70805,             0.44308,            0.034216,           0.0085938,            0.012221,              0.0034,              0.0034,              0.0034
                  12,            0.035434,             0.01745,           0.0070965,             0.72875,             0.69714,             0.72387,             0.46039,            0.033434,           0.0083802,             0.01051,             0.00274,             0.00274,             0.00274
                  13,            0.034142,            0.016966,           0.0061226,             0.76258,             0.69133,             0.73343,             0.47003,            0.033173,           0.0083767,            0.011223,             0.00208,             0.00208,             0.00208
                  14,            0.032756,            0.016547,           0.0051643,             0.75172,             0.71314,             0.73855,             0.47863,            0.032559,           0.0083542,            0.010491,             0.00142,             0.00142,             0.00142
